,Opportunity Name,Opportunity Unique Identifier,Bridge Name,Country,Level 3 Government,Level 4 Government,Stage,Sub-Stage,Individuals Directly Served,River Name,Site Validation,Proposed Bridge Location (GPS) (Latitude),Proposed Bridge Location (GPS) (Longitude),Reason site not valid,Site Validation Comments,Flag for Rejection,Rejection Reason,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Nearest all-weather crossing point,360° with site description video on Box,Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,GPS (Longitude),GPS (Latitude),Waterway or Obstacle Classification,Transportation Route Classification,Environment Classification,Form: Created Date,Level 1 Government,Level 2 Government,geometry,latitude,longitude,priority
473,Côte d'Ivoire - Afotobo 3 - 1044016,1044016,Afotobo 3,Côte d'Ivoire,Béoumi,Afotobo,Identified,,,Bontissi,Not applicable,7.636708,-5.467453,,"Le site est une rivière moyenne, un peu large, un peu profond, contient peu d'eau actuellement, coule modérément, le lit est très rocailleux. Le site est utilisé par les piétons, les tricycles y passent en saison sèche.",No,,0,"Un homme est tombé dans l'eau en traversant, en cette année 2022 pendant la période des pluies, mais elle été blessée et transportée à l'hôpital.",90.0,7 jours,"La communauté de Afotobo traverse ce site pour accéder aux plantations et rendre visite aux parents à Obenikro. Les communautés et les élèves de Obenikro traversent le site pour des raisons économiques, de santé et d'école. Monsieur Kouakou Kouassi, Secrétaire général du GSC de Afotobo, +2250748972256 a participé à cet entretien.",24.0,"Aucune autre traversée en toutes saisons, la communauté contourne par la grande route à bitumée parcourant 6 km.",Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school,Marché hebdomadaire - Market (weekly);Feme - Farms,"Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.467453,7.636708,River,Walking path,Rural,12/25/22,Gbêkê,Béoumi,POINT (-5.467453 7.636708),7.636708,-5.467453,no
474,Côte d'Ivoire - Afotobo 4 - 1044017,1044017,Afotobo 4,Côte d'Ivoire,Béoumi,Afotobo,Identified,,,Anouman-N'zan-N'zué-N'goua,Not applicable,7.642796,-5.474907,,"La rivière est petite, pas large, pas profonde, ne contient pas assez d'eau actuellement, coule lentement. Le site est aussi utilisé par les tricycles en saison sèche.",No,,0,Aucun incident n'est signalé sur le site,60.0,1 jour de crue et d'inondation,"La communauté traverse ce site pour accéder aux plantations. Monsieur Kouakou Kouassi, Secrétaire général du GSC de Afotobo, +2250748972256 a participé à cet entretien.",16.0,"Aucune autre traversée en toutes saisons, le site est seulement difficile à traverser en période des pluies, car l'eau monte jusqu'à la taille.",Non,,,Feme - Farms,,-5.474907,7.642796,River,Walking path,Rural,12/25/22,Gbêkê,Béoumi,POINT (-5.474907 7.642796),7.642796,-5.474907,no
475,Côte d'Ivoire - Zedekaabo 4 - 1043972,1043972,Zedekaabo 4,Côte d'Ivoire,Béoumi,Koumanbo,Identified,,,Amlekinnou,Not applicable,7.600885,-5.44223,,Le site est un petit passage ouvert par la communauté pour relier deux bafonds situés en amont et en aval de la traversée.,No,,0,Aucun incident n'est signalé sur le site,30.0,1 jour,"Monsieur Yao Yao Noël, notable de Zedekaabo, +2250143316552 a participé à cet entretien",9.0,La grande route à véhicules parcourant 3 km,Non,,,Feme - Farms,,-5.44223,7.600885,swamp (water year round),Walking path,Rural,12/21/22,Gbêkê,Béoumi,POINT (-5.44223 7.600885),7.600885,-5.44223,no
476,Côte d'Ivoire - Akadiafoué 2 - 1044022,1044022,Akadiafoué 2,Côte d'Ivoire,Béoumi,Akadiafoué,Identified,,,Konan-N'zuébah 2,Not applicable,7.607423,-5.511065,,"La rivière n'est pas large, pas profonde, contient un peu d'eau qui coule lentement. La traversée est aussi utilisée par les tricycles en saison sèche.",No,,0,Aucun incident n'est signalé sur le site,30.0,1 jour,"Les communautés de Akadiafoué et Obenikro traversent ce site pour accéder aux plantations et se rendre visite mutuellement. C'est aussi un raccourci pour le élèves du futur collège de proximité. Monsieur Kouakou Kouassi Delphin, Secrétaire général du GSC de Akadiafoué, +2250595203591 a participé à cet entretien.",8.0,"Aucune autre traversée en toutes saisons, la communauté contourne par la grande route à véhicules parcourant 4 km à pied.",Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.511065,7.607423,River,motorcycle accessible path,Rural,12/25/22,Gbêkê,Béoumi,POINT (-5.511065 7.607423),7.607423,-5.511065,no
477,Côte d'Ivoire - Monebo 1 - 1043966,1043966,Monebo 1,Côte d'Ivoire,Béoumi,Koumanbo,Identified,,,Gblougblou 1,Not applicable,7.582155,-5.42762,,"Le site est grand, large, un peu profond monte jusqu'aux genoux, contient beaucoup d'eau, coule modérément,forme un bafondsurla rive droite.le site est uniquement utilisé par les piétons.",No,,0,Aucun incident n'est signalé sur le site,60.0,120 jours,"La communauté traverse ce site pour accéder aux plantations et rendre visite aux parents à Kaabo. Monsieur Kouadio Kan Jean-Baptiste, Notable de Monebo, +2250749462804 a participé à cet entretien.",60.0,"Aucune autre traversée en toutes saisons, la communauté contourne par la grande route à véhicules parcourant 7 Km à pied.",Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.42762,7.582155,River,Walking path,Rural,12/21/22,Gbêkê,Béoumi,POINT (-5.42762 7.582155),7.582155,-5.42762,no
478,Côte d'Ivoire - Alloukro - 1044716,1044716,Alloukro,Côte d'Ivoire,N'guessankro,Kokoré-Kouadiokro,Identified,,,M'gblaka-N'zué,Not applicable,8.081105,-5.344031,,"La rivière est sèche actuellement. Les élèves traversent à pieds secs. Mais ce site devient dangereux, difficile, voire impossible à traverser en période des pluies.",No,,0,Aucun incident n'est signalé sur le site,90.0,7 jours,"Monsieur Koffi Amani Roland, Directeur de l'EPP Kokoré-Kouadiokro, +2250506866637 a participé à cet entretien",43.0,"Aucune autre traversée en toutes saisons, les élèves restent à la maison jusqu'à la baisse de la crue avant de reprendre le chemin de l'école.",Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Achat des unités ou de données - Airtime or data purchase",-5.344031,8.081105,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,2/4/23,Gbêkê,Béoumi,POINT (-5.344031 8.081105),8.081105,-5.344031,no
479,Côte d'Ivoire - Kadja-Kouamekro - 1044715,1044715,Kadja-Kouamekro,Côte d'Ivoire,N'guessankro,Konanblékro,Identified,,,N'zué-N'dron,Not applicable,7.937433,-5.387836,,"La rivière est très large, légèrement profonde. Le site est sec actuellement. Les élèves traversent à pieds secs. Mais cette traversée devient dangereux , difficile, voire impossible à utiliser en période des pluies.",No,,0,Aucun incident n'est signalé sur le site,150.0,7 jours,"Monsieur Konan Kouamé Joseph, président du COGES de Konanblékro, +2250759907815 a participé à cet entretien.",65.0,"Aucune autre traversée en toutes saisons, les élèves restent à la maison jusqu'à la baisse du niveau de la crue avant de reprendre le chemin de l'école.",Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.387836,7.937433,River,Walking path,Rural,2/4/23,Gbêkê,Béoumi,POINT (-5.387836 7.937433),7.937433,-5.387836,no
480,Côte d'Ivoire - Agbra - 1044717,1044717,Agbra,Côte d'Ivoire,N'guessankro,Tanoh-Kouassikro,Identified,,,M'vakoto-N'zué,Not applicable,8.097019,-5.346081,,La traversée est sèche actuellement. Les élèves traversent à pieds secs. On remarque une grande retenue d'eau en amont. Cette retenue deborde et inonde la traversée en période de pluie. Le site devient alors très dangereux pour les élèves.,No,,0,Aucun incident n'est signalé sur le site,90.0,7 jours,"Monsieur Koffi Amani Roland, Directeur de l'EPP Kokoré-Kouadiokro, +2250506866637 a participé à cet entretien.",34.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Achat des unités ou de données - Airtime or data purchase",-5.346081,8.097019,River,non-graded road or car/vehicle accessible path,Rural,2/4/23,Gbêkê,Béoumi,POINT (-5.346081 8.097019),8.097019,-5.346081,no
481,Côte d'Ivoire - Angbékro - 1044780,1044780,Angbékro,Côte d'Ivoire,Bodokro,Pli-Akakro,Identified,,,Kouassi-Blédjabo,Not applicable,7.833772,-5.552286,,"Le site ne contient pas d'eau actuellement, il est légèrement profond, pas large. Il est utilisé par les élèves venant de Angbékro pour accéder à l'école primaire de Pli-Akakro.",No,,0,Aucun incident n'est signalé sur le site,60.0,1 jour,"Monsieur Kongo Alain, Président du COGES de Pli-Akakro, +2250504286857 a participé à cet entretien.",15.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.552286,7.833772,River,non-graded road or car/vehicle accessible path,Rural,2/12/23,Gbêkê,Béoumi,POINT (-5.552286 7.833772),7.833772,-5.552286,no
482,Côte d'Ivoire - Sidibékro - 1044783,1044783,Sidibékro,Côte d'Ivoire,Bodokro,Zangokro,Identified,,,Djadjassou,Not applicable,7.851026,-5.588429,,"La rivière est sèche actuellement, elle ne contient pas d'eau, les élèves de Sidibékro traversent à pieds secs pour accéder à l'école primaire de Zangokro. Mais ce site monte en crue en saison des pluies et devient difficile à traverser.",No,,0,Aucun incident n'est signalé sur le site,60.0,1 jour,"Monsieur Kouakou Koffi Alain, commissaire aux comptes du COGES de Zangokro, +2250545805448 a participé à cet entretien.",12.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.588429,7.851026,River,Walking path,Rural,2/12/23,Gbêkê,Béoumi,POINT (-5.588429 7.851026),7.851026,-5.588429,no
483,Côte d'Ivoire - N'guessankro - 1044782,1044782,N'guessankro,Côte d'Ivoire,Bodokro,Zangokro,Identified,,,Aklibo,Not applicable,7.852232,-5.58408,,"Le site ne contient pas d'eau actuellement, il n'est pas profond, pas large. Mais il monte en crue en période de pluies et devient difficilement franchissable par les élèves de N'guessankro qui accèdent à l'école primaire de Zangokro.",No,,0,Aucun incident n'est signalé sur le site,60.0,2 jours,"Monsieur Kouakou Koffi Alain, Commissaire aux comptes du COGES de Zangokro, +2250545805448 a participé à cet entretien.",16.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.58408,7.852232,River,motorcycle accessible path,Rural,2/12/23,Gbêkê,Béoumi,POINT (-5.58408 7.852232),7.852232,-5.58408,no
484,Côte d'Ivoire - Alphonsekro - 1044785,1044785,Alphonsekro,Côte d'Ivoire,Bodokro,Zangokro,Identified,,,Akabouman,Not applicable,7.854715,-5.581906,,"Le site ne contient pas d'eau actuellement, il n'est pas large, pas profond. Cette est une alternative pour les élèves de Alphonsekro lorsque Blônou est infranchissable.",No,,0,Aucun incident n'est signalé sur le site,60.0,1 jour,"Monsieur Kouakou Koffi Alain, commissaire aux comptes du COGES de Zangokro, +2250545805448 a participé à cet entretien.",13.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.581906,7.854715,River,motorcycle accessible path,Rural,2/12/23,Gbêkê,Béoumi,POINT (-5.581906 7.854715),7.854715,-5.581906,no
485,Côte d'Ivoire - Kokotikro - 1044781,1044781,Kokotikro,Côte d'Ivoire,Bodokro,Agba-Kouassikro,Identified,,,Foly,Not applicable,7.907221,-5.438633,,"Le site est une grande route à véhicules, où traversent les élèves de Kokotikro pour accéder l'école primaire de Agba-Kouassikro. Le site est sec actuellement, mais l'eau y deborde en saison des pluies et rendre la traversée difficile pour les élèves",No,,0,Aucun incident n'est signalé sur le site,90.0,2 jours,"Monsieur N'dri Velten, Directeur de l'EPP Agba-Kouassikro, +2250708899701 a participé à cet entretien.",25.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.438633,7.907221,River,non-graded road or car/vehicle accessible path,Rural,2/12/23,Gbêkê,Béoumi,POINT (-5.438633 7.907221),7.907221,-5.438633,no
486,Côte d'Ivoire - Agba-Kouassikro 2 - 1044184,1044184,Agba-Kouassikro 2,Côte d'Ivoire,Bodokro,Kouakou-Bakakro,Identified,,,N'zué-bakôkô,Not applicable,7.937529,-5.474987,,La traversée est une grande route à véhicules. Il n'y a pas d'eau actuellement. On remarque une grande retenue d'eau en amont qui inonde la traversée en période de pluie.,No,,0,Aucun incident n'est signalé sur le site,30.0,1 jour,"Monsieur N'dri Konan Jean-François, Secrétaire chargé de l'organisation du GSC de Kouakou-Bakakro, +2250797041178 a participé à cet entretien.",41.0,"Aucune autre traversée en toutes saisons, le site même est franchissable en toutes saisons",Non,,,Feme - Farms,,-5.474987,7.937529,River,motorcycle accessible path,Rural,12/30/22,Gbêkê,Béoumi,POINT (-5.474987 7.937529),7.937529,-5.474987,no
487,Côte d'Ivoire - Saounti 3 - 1043965,1043965,Saounti 3,Côte d'Ivoire,Béoumi,Koumanbo,Identified,,,Akplo-Akissi,Not applicable,7.594087,-5.407351,,"Le site est très petit, pas large, pas profond, ne contient pas assez d'eau, coule très lentement. La traversée est aussi utilisée par les tricycles et camions pour la collecte et l'évacuation des produits agricoles.",No,,0,Aucun incident n'est signalé sur le site,0.0,"0 jour, le site est franchissable en toutes saisons.","Monsieur Kouamé Koffi David, notable de Saounti, +2250153626026 a participé à l'entretien.",8.0,"Aucune autre traversée en toutes saisons, le site même est franchissable en toutes saisons",Non,,,Feme - Farms,,-5.407351,7.594087,River,Walking path,Rural,12/21/22,Gbêkê,Béoumi,POINT (-5.407351 7.594087),7.594087,-5.407351,no
488,Côte d'Ivoire - Agba-Kouassikro 3 - 1044185,1044185,Agba-Kouassikro 3,Côte d'Ivoire,Bodokro,Kouakou-Bakakro,Identified,,,Djouè,Not applicable,7.95301,-5.501385,,"Le lit de la rivière est grand, profond, contient un peu d'eau actuellement. La traversée est utilisée seulement par les piétons. Le site reste très dangereux en saison des pluies.",No,,0,Aucun incident n'est signalé sur le site. Les usagers restent très prudents en période de pluie.,90.0,7 jours,"Monsieur N'dri Konan Jean-François, Secrétaire chargé de l'organisation du GSC de Kouakou-Bakakro, +2250797041178 a participé à cet entretien",20.0,Aucune autre traversée en toutes saisons,Non,,,Feme - Farms,,-5.501385,7.95301,River,Walking path,Rural,12/30/22,Gbêkê,Béoumi,POINT (-5.501385 7.95301),7.95301,-5.501385,no
489,Côte d'Ivoire - Kénéfoué 1 - 1044174,1044174,Kénéfoué 1,Côte d'Ivoire,Ando-Kékrénou,Linguébo,Identified,,,Boali 1,Not applicable,7.476417,-5.632499,,Le site est formé par un gros ravin qui remplit d'eau en période de pluie et bloque le passage à la communauté. L'eau de ruissellement a creusé une fente très dangereuse pour la communauté.,No,,0,Plusieurs cas de blessés sont signalés sur le site en période de pluie.,120.0,3 jours,"La communauté traverse ce site pour accéder aux plantations, au marché hebdomadaire de Linguébo et rendre visite aux parents. Messieurs Konan Kouakou Étienne, président des jeunes de Kénéfoué, +2250749725483 et Kouakou Kouadio Éric, Secrétaire général adjoint du GSC de Linguébo, +2250709450467 ont participé à l'entretien.",20.0,"Aucune autre traversée en toutes saisons, la communauté contourne par la grande route à véhicules parcourant 11 km",Non,Hôpital - Hospital;Pharmacie - Pharmacy,,Marché hebdomadaire - Market (weekly);Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.632499,7.476417,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,12/30/22,Gbêkê,Béoumi,POINT (-5.632499 7.476417),7.476417,-5.632499,no
490,Côte d'Ivoire - Afotobo 5 - 1044019,1044019,Afotobo 5,Côte d'Ivoire,Béoumi,Afotobo,Identified,,,Anouman-N'zan-N'zué-Afien,Not applicable,7.64565,-5.477423,,"Le site un peu large , pas profond, contient un peu d'eau, coule lentement. La site est utilisé par les tricycles en saison sèche.",No,,0,Aucun incident n'est signalé sur le site.,30.0,1 jour,"La communauté traverse ce site pour accéder aux plantations et rendre visite aux parents à Akadiafouè. Monsieur Kouakou Kouassi, Secrétaire général du GSC de Afotobo, +2250748972256 a participé à cet entretien.",25.0,"Aucune autre traversée en toutes saisons, le site est difficilement franchissable en période de crue.",Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.477423,7.64565,River,Walking path,Rural,12/25/22,Gbêkê,Béoumi,POINT (-5.477423 7.64565),7.64565,-5.477423,no
491,Côte d'Ivoire - Saounti 2 - 1043964,1043964,Saounti 2,Côte d'Ivoire,Béoumi,Koumanbo,Identified,,,Allokouanou,Not applicable,7.566747,-5.407937,,"Le site est petit, pas large, pas profond, contient très peu d'eau, coule très lentement. La traversée est aussi utilisée par les tricycles et camions pour la collecte et le transport des produits agricoles.",No,,0,Aucun incident n'est signalé sur le site,0.0,"O jour, le site est franchissable en toutes saisons","La communauté traverse ce site pour accéder aux plantations et rendre visite aux parents à Konanmoukro. Monsieur Kouamé Koffi David, notable de Saounti, +2250153626026 a participé à cet entretien.",12.0,"Aucune autre traversée en toutes saisons, le site même est franchissable en toutes saisons.",Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.407937,7.566747,River,Walking path,Rural,12/21/22,Gbêkê,Béoumi,POINT (-5.407937 7.566747),7.566747,-5.407937,no
492,Côte d'Ivoire - Obenikro - 1044023,1044023,Obenikro,Côte d'Ivoire,Béoumi,Akadiafoué,Identified,,,Yobouessou,Not applicable,7.604121,-5.484128,,"Le site est mince, pas large, pas profond, contient un peu d'eau actuellement, coule très lentement. Le site est aussi utilisé par les tricycles en saison sèche.",No,,0,Les élèves tombent régulièrement dans l'eau en traversant pendant la période de pluie.,90.0,"3 jours de crue et d'inondation, mais les élèves traversent différemment, parfois avec l'aide des adultes.","Les élèves de Obenikro traversent le site pour se rendre à l'école primaire de Yoboué-N'zué. La communauté utilise la traversée pour accéder aux plantations, au marché et rendre visite aux parents à Yoboué-N'zué. Messieurs Zohou Kouakou Isidore, chef de Obenikro, +2250585652881, et Kouakou Kouassi Delphin, Secrétaire général du GSC de Akadiafoué, +2250595203591 ont participé à l'entretien.",15.0,Aucune autre traversée en toutes saisons. Cette traversée est unique pour la communauté et les élèves.,Non,,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.484128,7.604121,River,motorcycle accessible path,Rural,12/25/22,Gbêkê,Béoumi,POINT (-5.484128 7.604121),7.604121,-5.484128,no
493,Côte d'Ivoire - Assekro 2 - 1044013,1044013,Assekro 2,Côte d'Ivoire,Béoumi,Afotobo,Identified,,,Kongonou,Not applicable,7.656134,-5.392766,,"Le site est une rivière qui forme un grand bafond, très large, profond, contient abondamment d'eau actuellement, coule modérément.",No,,0,Aucun incident n'est signalé sur ce site,90.0,7 jours,"La communauté traverse ce site pour accéder aux plantations, alors que la majorité de la population a sa plantation derrière cette rivière. Monsieur Kouamé Kouassi Yanick, représentant du président des jeunes de Assekro, +2250708763148 a participé à cet entretien.",125.0,"Aucune autre traversée en toutes saisons, la communauté reste chez elle jusqu'à la baisse de la crue.",Non,,,Feme - Farms,,-5.392766,7.656134,River,Walking path,Rural,12/25/22,Gbêkê,Béoumi,POINT (-5.392766 7.656134),7.656134,-5.392766,no
494,Côte d'Ivoire - Kongossou-N'drikoffikro - 1044713,1044713,Kongossou-N'drikoffikro,Côte d'Ivoire,Bodokro,Bodokro,Identified,,,Nanangna,Not applicable,7.880395,-5.490921,,"La rivière estgrande, large et profonde, ne contient pas d'eau actuellement. Elle devient très dangereux en saison des pluies. Un raccourci pour les élèves pour accéder aux établissements secondaires publics et privés de Bodokro.",No,,0,Aucun incident n'est signalé sur le site. Les élèves sont obligés d'emprunter la grande route à véhicules,150.0,14 jours de crue et d'inondation,"Monsieur Kouakou Kouadio Wencesl, éducateur au Collège Moderne de Bodokro, +2250709179882 a participé à cet entretien.",45.0,"Aucune autre traversée en toutes saisons, les élèves contournent par la grande route à véhicules, parcourant 7 km à pied pour se rendre à l'école et regagner leurs domiciles.",Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.490921,7.880395,River,Walking path,Rural,2/4/23,Gbêkê,Béoumi,POINT (-5.490921 7.880395),7.880395,-5.490921,no
495,Côte d'Ivoire - Konanblékro - 1044714,1044714,Konanblékro,Côte d'Ivoire,N'guessankro,Konanblékro,Identified,,,Akablé,Not applicable,7.940014,-5.42324,,"Le site est une route à véhicules, la rivière est sèche actuellement, les élèves traversent à pieds secs.",No,,0,Aucun incident n'est signalé sur le site,90.0,3 jours,"Monsieur Konan Kouamé Joseph, président du COGES de Konanblékro, +2250759907815 a participé à cet entretien.",20.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly),"Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Achat des unités ou de données - Airtime or data purchase",-5.42324,7.940014,River,non-graded road or car/vehicle accessible path,Rural,2/4/23,Gbêkê,Béoumi,POINT (-5.42324 7.940014),7.940014,-5.42324,no
496,Côte d'Ivoire - Dokro 2 - 1044835,1044835,Dokro 2,Côte d'Ivoire,Ando-Kékrénou,Dékréta,Identified,,,Notièblénou,Not applicable,7.511461,-5.545777,,"La rivière est sèche actuellement, la traversée est mince, profonde, surmontée d'un pont en bois couvert de terre. En période des pluies, l'eau inonde la traversée, emporte le pont et bloque l'accès des élèves à l'EPP Dékréta.",No,,0,Aucun incident n'est signalé sur le site,90.0,7,"Monsieur Coulibaly Dokatchana, Directeur de l'EPP Dékréta, +2250709647896 a participé à cet entretien.",43.0,"Aucune autre traversée en toutes saisons, les élèves restent bloqués à la maison jusqu'à la baisse de la crue",Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.545777,7.511461,River,motorcycle accessible path,Rural,2/18/23,Gbêkê,Béoumi,POINT (-5.545777 7.511461),7.511461,-5.545777,no
