,FID_,Shape__,Niveau,IEP,Region,Departemen,S_pref,Commune,Villages,Nature_loc,Nom_Etab,Coord_x,Coord_y,Source_coo,Statut,Regime_ét,Milieu,Ordre_ens,Type_conf,eco_pt_eau,Elec_ecole,Elec_local,Eligible_c,Coges,T_cp1,TF_cp1,T_cp2,Tf_cp2,T_ce1,Tf_ce1,T_ce2,Tf_ce2,T_cm1,Tf_cm1,T_cm2,Tf_cm2,Aire_total,Aire_Inf_3,Aire_3_5,Aire_Sup_5,Ce2_18_19,Cm1_18_19,Cm2_18_19,Cm1_19_20,Cm2_19_20,Cm2_20_21,Aire,Prj_cm2_21,Densit_prj,Ponde,Clas_den_p,geometry
202,202,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,KONDEHINOU,Un village,EPP KONDEHINOU,252727,851018,ecole,Public,-1,2,-1,-1,1,1,1,2,1,77,39,41,17,75,24,48,22,51,24,45,22,337,30,307,0,70.678208,45.403234,49.48011,63.870517,46.42917,62.635465,337,3,0.797904,18,1,POINT (252727 851018)
203,203,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,ASSAKRA,Un village,EPP ASSAKRA,228509,851045,ecole,Public,-1,2,-1,-1,1,1,2,2,2,48,25,54,32,65,27,74,39,65,33,65,30,371,340,31,0,60.656552,65.254418,62.912427,54.350107,62.373188,52.807019,371,3,0.672701,21,1,POINT (228509 851045)
204,204,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,BEOUMI,0,BEOUMI,Un village,EPP N'DEBO,215849,851130,ecole,Public,-1,2,-1,-1,2,2,1,2,1,51,26,35,19,29,11,22,12,27,11,24,8,188,188,0,0,30.497752,21.554693,27.549478,29.696085,22.917175,31.240408,188,2,0.397967,18,1,POINT (215849 851130)
205,205,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,ZOUGBAN,Un village,EPP ZOUGBAN,305948,851610,ecole,Public,-1,2,-1,-1,1,2,1,2,2,33,19,39,17,31,12,29,12,22,12,0,0,154,154,0,0,30.144668,27.983995,24.73095,28.016697,29.434671,28.460201,154,2,0.36255,21,1,POINT (305948 851610)
206,206,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,ASSAMOI-POKOUKRO,Un village,EPP ASSAMOI-POKOUKRO,239797,851616,ecole,Public,-1,2,-1,-1,1,1,1,2,1,25,12,20,10,17,6,11,4,10,2,7,2,90,90,0,0,20.060457,14.608146,15.911578,21.15452,19.420248,24.148571,90,2,0.307625,18,1,POINT (239797 851616)
207,207,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,AYABO ABOUOKRO,Un village,EPP AYABO ABOUOKRO,297848,851714,ecole,Public,-1,2,-1,-1,1,1,1,2,2,29,16,22,7,26,6,26,15,15,11,0,0,118,118,0,0,24.621358,24.958917,15.868847,22.493559,25.860416,22.501471,118,2,0.286643,21,1,POINT (297848 851714)
208,208,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,SARAKAKRO,Un village,EPP SARAKAKRO 2,309332,851746,ecole,Public,-1,2,-1,-1,1,2,1,2,2,41,19,36,16,48,23,27,12,0,0,0,0,152,152,0,0,46.105272,26.559478,7.283206,42.278671,28.651645,42.162553,152,3,0.537103,21,1,POINT (309332 851746)
209,209,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,SARAKAKRO,Un village,EPP SARAKAKRO 1,309322,851790,ecole,Public,-1,2,-1,-1,1,2,1,2,2,55,27,65,38,62,36,58,25,48,14,79,27,367,367,0,0,55.805121,50.74922,45.552009,48.562483,47.980613,45.678547,367,3,0.581892,21,1,POINT (309322 851790)
210,210,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,LANGUIBONOU,Un village,EPP LANGUIBONOU 1,250693,851981,ecole,Public,-1,2,-1,-1,2,2,1,2,2,22,10,35,20,28,18,37,24,25,11,24,13,171,171,0,0,31.827378,36.124896,26.448078,32.591437,38.041154,35.930828,171,2,0.457718,21,1,POINT (250693 851981)
211,211,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,LANGUIBONOU,Un village,EPP LANGUIBONOU 2,250648,852069,ecole,Public,-1,2,-1,-1,1,2,1,2,2,28,14,50,22,31,21,49,22,40,22,22,7,220,154,66,0,35.910086,48.003133,43.617498,37.271649,51.019361,41.717868,220,3,0.531438,21,1,POINT (250648 852069)
212,212,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,BEOUMI,0,BEOUMI,Un village,EPP N'DORI-SAKASSOU,217262,852256,ecole,Public,-1,2,-1,-1,1,2,1,2,1,21,8,31,17,16,10,20,9,11,5,7,4,106,106,0,0,20.621361,22.906117,14.706505,22.720531,27.328607,26.736253,106,2,0.340589,18,1,POINT (217262 852256)
213,213,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,KOBLEKRO,Un village,EPP KOBLEKRO,287756,852292,ecole,Public,-1,2,-1,-1,1,2,1,2,1,18,6,16,10,10,5,17,10,10,5,15,6,86,86,0,0,12.712185,16.660946,11.619689,13.778562,17.698334,15.870158,86,1,0.202168,18,1,POINT (287756 852292)
214,214,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,BEOUMI,0,WAWANOUAN,Un village,EPP WAWANOUAN,218213,853027,ecole,Public,-1,2,-1,-1,1,1,2,2,2,46,18,38,11,35,10,33,18,34,11,22,8,208,208,0,0,33.410232,28.945391,34.330665,30.354892,27.766194,29.822188,208,2,0.3799,21,1,POINT (218213 853027)
215,215,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,KPANGUIBO,Un village,EPP KPANGUIBO,225460,853063,ecole,Public,-1,2,-1,-1,1,1,1,2,2,11,4,9,3,14,10,0,0,0,0,0,0,34,34,0,0,17.643314,5.218771,5.20229,19.218923,10.601176,22.431686,34,2,0.285754,21,1,POINT (225460 853063)
216,216,Point,PRIMAIRE,BOUAKE-GONFREVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,LOKANOU,Un village,EPP LOKANOU,265761,853758,ecole,Public,-1,2,-1,-1,1,1,1,2,2,9,3,6,3,5,2,3,1,6,5,3,1,32,32,0,0,9.366922,6.356209,8.636546,11.79996,9.993668,15.104577,32,1,0.192415,21,1,POINT (265761 853758)
217,217,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,BOBOKRO,Un village,EPP BOBOKRO2,304443,854211,ecole,Public,-1,2,-1,-1,1,1,1,2,2,21,8,14,6,31,15,29,13,0,0,0,0,95,95,0,0,30.144668,27.539845,3.381488,27.96738,28.319388,28.271956,95,2,0.360152,21,1,POINT (304443 854211)
218,218,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,BOBOKRO,Un village,EPP BOBOKRO 1,304448,854242,ecole,Public,-1,2,-1,-1,1,1,1,2,2,37,18,31,16,24,8,54,22,67,25,70,20,283,283,0,0,25.615044,49.676787,63.88377,25.416354,49.539418,27.484536,283,2,0.350121,21,1,POINT (304448 854242)
219,219,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,BEOUMI,0,OUAOUASSI,Un village,EPP OUAOUASSI,218563,854312,ecole,Public,-1,2,-1,-1,1,2,1,2,2,38,17,19,8,19,7,12,6,16,6,18,4,122,122,0,0,20.219855,13.321727,18.435434,19.95449,15.774049,21.404159,122,2,0.272664,21,1,POINT (218563 854312)
220,220,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,YAPOKOUAKOUKRO,Un village,EPP YAPOKOUAKOUKRO,290709,854548,ecole,Public,-1,2,-1,-1,1,2,1,2,1,56,25,34,11,36,14,37,19,26,11,32,12,221,221,0,0,38.742867,38.7898,34.607127,38.672258,44.056258,42.132761,221,3,0.536723,18,1,POINT (290709 854548)
221,221,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,MAMINI,Un village,EPP MAMINI,301267,854964,ecole,Public,-1,2,-1,-1,1,1,1,2,2,47,23,34,18,41,21,26,15,19,16,53,20,220,164,56,0,42.344371,26.957595,21.19302,40.872044,29.898128,42.780751,220,3,0.544978,21,1,POINT (301267 854964)
222,222,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,KANANKRO,Un village,EPP KANANKRO 2,281018,854965,ecole,Public,-1,2,-1,-1,2,2,1,2,2,35,18,51,33,49,26,49,19,53,27,57,22,294,279,0,15,44.647526,43.006438,50.061281,39.248068,40.874337,37.346611,279,2,0.475753,21,1,POINT (281018 854965)
223,223,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,SOMELASSOU,Un village,EPP SOMELASSOU,298109,854990,ecole,Public,-1,2,-1,-1,1,1,1,2,2,27,13,17,10,35,14,20,10,17,7,23,10,139,139,0,0,37.125724,23.128193,21.52225,36.607427,27.953908,39.261663,139,2,0.500149,21,1,POINT (298109 854990)
224,224,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,KANANKRO,Un village,EPP KANANKRO 1,281005,855002,ecole,Public,-1,2,-1,-1,2,1,1,2,2,59,31,66,36,63,37,62,33,74,38,73,36,397,341,30,26,57.037904,54.264482,66.243011,49.876338,51.016612,47.13035,371,3,0.600387,21,1,POINT (281005 855002)
225,225,Point,PRIMAIRE,BOUAKE-GONFREVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,ALLOKOKRO,Un village,EPP ALLOKOKRO,269449,855259,ecole,Public,-1,2,-1,-1,1,1,1,2,2,40,12,41,27,47,25,41,19,37,15,47,21,253,168,85,0,44.87249,37.974592,36.958194,40.977145,38.180371,40.667616,253,3,0.518059,21,1,POINT (269449 855259)
226,226,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,KAHANKRO,Un village,EPP KONGO KOUADIO PASCAL DE KAHANKRO,284332,855392,ecole,Public,-1,2,-1,-1,2,2,2,2,2,51,21,50,24,73,36,96,49,40,20,35,9,345,345,0,0,66.675199,83.589018,39.325609,58.781395,78.439345,56.15177,345,3,0.715309,21,1,POINT (284332 855392)
227,227,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,BOTRO,-1,DIABO,Un village,EPP AGBAKRO,258363,855402,ecole,Public,-1,2,-1,-1,2,2,1,2,2,73,40,82,36,73,41,73,29,75,35,47,23,423,423,0,0,70.006329,66.096686,72.061029,64.061026,64.870274,63.606434,423,3,0.810273,21,1,POINT (258363 855402)
228,228,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,ATTIENKRO,Un village,EPP ATTIENKRO 1,278501,855471,ecole,Public,-1,2,-1,-1,2,1,1,2,2,62,29,69,33,77,42,70,32,81,51,53,27,412,412,0,0,70.581365,62.96057,76.145572,62.449302,61.287836,59.947047,412,3,0.763657,21,1,POINT (278501 855471)
229,229,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,GBEHEKE,Un village,EPP BEHEKE,250371,855796,ecole,Public,-1,2,-1,-1,1,2,1,2,2,53,29,49,22,53,29,54,25,40,19,49,21,298,298,0,0,48.169331,46.900845,37.894979,42.214316,43.955918,39.970235,298,2,0.509175,21,1,POINT (250371 855796)
230,230,Point,PRIMAIRE,BODOKRO,GBÊKÊ,BEOUMI,LOLOBO,-1,KUINDJANDA,Un village,EPP KUINDJANDA,236551,855870,ecole,Public,-1,2,-1,-1,1,1,2,2,2,39,18,54,28,43,21,55,31,35,20,39,15,265,232,33,0,40.838203,47.613104,33.515764,36.989046,44.465835,36.21029,265,2,0.461278,21,1,POINT (236551 855870)
231,231,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,GBANGAOUPLI,Un village,EPP GBANGAOUPLI,247955,855920,ecole,Public,-1,2,-1,-1,1,1,1,2,1,31,19,29,16,28,10,22,12,23,12,17,11,150,150,0,0,29.905572,23.220258,25.216621,29.576319,26.236828,31.75482,150,2,0.40452,18,1,POINT (247955 855920)
232,232,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,KPEKEKRO,Un village,EPP KPEKEKRO,303582,855946,ecole,Public,-1,2,-1,-1,1,1,1,2,2,65,33,39,21,48,23,33,18,25,15,0,0,210,209,1,0,48.795801,32.165483,28.659051,46.487506,34.177425,47.974222,210,3,0.611137,21,1,POINT (303582 855946)
233,233,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,DIABO,-1,MESSOUKRO,Un village,EPP MESSOUKRO,253928,856142,ecole,Public,-1,2,-1,-1,1,1,1,2,2,35,18,21,7,21,6,23,10,15,8,18,11,133,133,0,0,23.966624,25.042894,19.640507,24.797768,29.044422,27.840926,133,2,0.354662,21,1,POINT (253928 856142)
234,234,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,KOUBEBO-DAN,Un village,EPP KOUBEBO-DAN,221428,856316,ecole,Public,-1,2,-1,-1,1,1,2,2,2,51,23,30,11,45,22,32,13,25,16,28,8,211,211,0,0,38.178952,26.345491,21.896075,31.432601,23.074514,27.530023,211,2,0.350701,21,1,POINT (221428 856316)
235,235,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,MANGREKAN,Un village,EPP MANGREKAN,228061,856523,ecole,Public,-1,2,-1,-1,1,1,1,2,2,21,7,15,8,20,5,27,12,22,6,0,0,105,105,0,0,26.321212,30.556834,25.381236,29.268304,36.101218,34.643612,105,2,0.44132,21,1,POINT (228061 856523)
236,236,Point,PRIMAIRE,BOUAKE-GONFREVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,AMANIKRO,Un village,EPP AMANIKRO,270227,856915,ecole,Public,-1,2,-1,-1,1,1,2,2,2,27,14,21,7,27,9,33,15,17,8,13,7,138,138,0,0,29.441512,31.83237,19.571392,29.419194,33.273303,31.782095,138,2,0.404867,21,1,POINT (270227 856915)
237,237,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,DJETOUANKRO,Un village,EPP DIBY AHOGO DE DJETOUANKRO,289413,857280,ecole,Public,-1,2,-1,-1,1,2,1,2,1,17,6,17,10,16,8,19,6,10,3,21,7,100,85,15,0,18.955795,20.084142,14.350891,19.938928,22.874284,22.595311,100,2,0.287838,18,1,POINT (289413 857280)
238,238,Point,PRIMAIRE,BODOKRO,GBÊKÊ,BEOUMI,LOLOBO,-1,AHOUNZE KOUADIOKRO,Un village,EPP AHOUNZE KOUADIOKRO,235326,857639,ecole,Public,-1,2,-1,-1,1,1,2,2,2,18,10,39,21,15,5,33,14,7,5,15,9,127,127,0,0,17.723013,29.833692,8.08176,18.452462,29.117187,20.511049,127,2,0.261287,21,1,POINT (235326 857639)
239,239,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,DIABO,0,DIA-ANDOKRO,Un village,EPP DJAHA-ANDOKRO,254898,857696,ecole,Public,-1,2,-1,-1,1,1,1,2,1,19,11,17,7,24,15,18,8,14,9,14,5,106,99,7,0,26.511887,19.371884,16.033462,26.720664,22.127559,29.0944,106,2,0.370629,18,1,POINT (254898 857696)
240,240,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,BACSOU,Un village,EPP BAC,209131,857708,ecole,Public,-1,2,-1,-1,1,2,1,2,2,82,37,49,21,49,31,38,14,39,18,15,3,272,272,0,0,45.544369,34.616401,40.530681,40.70033,34.564653,39.486012,272,2,0.503007,21,1,POINT (209131 857708)
241,241,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,BOBLENOU,Un village,EPP BOBLENOU,280070,857733,ecole,Public,-1,2,-1,-1,1,2,1,2,1,0,0,32,16,0,0,34,17,0,0,14,8,80,80,0,0,5.637298,34.099157,6.112691,9.341629,36.925542,13.922049,80,1,0.177351,18,1,POINT (280070 857733)
242,242,Point,PRIMAIRE,BOUAKE-KOKO,GBÊKÊ,BOUAKE,BOUAKE,0,MINANKRO,Un campement,EPP MINANKRO,275286,857935,ecole,Public,-1,2,-1,-1,2,1,1,2,2,50,27,31,13,41,19,32,15,30,8,29,10,213,213,0,0,37.988277,28.455207,27.966034,33.795301,27.306472,32.494311,213,2,0.41394,21,1,POINT (275286 857935)
243,243,Point,PRIMAIRE,BOUAKE-KOKO,GBÊKÊ,BOUAKE,BOUAKE,0,MINANKRO,Un village,EPP MINANKRO-B,275286,857935,ecole,Public,-1,2,-1,-1,2,2,1,2,2,46,22,34,13,48,22,37,15,24,9,30,13,219,118,56,45,49.180162,36.346971,28.953724,47.176835,38.903263,49.098814,174,3,0.625463,21,1,POINT (275286 857935)
244,244,Point,PRIMAIRE,BODOKRO,GBÊKÊ,BEOUMI,LOLOBO,-1,AHOUNZE,Un village,EPP AHOUNZE 2,233366,858063,ecole,Public,-1,2,-1,-1,1,1,2,2,2,0,0,44,21,0,0,34,15,0,0,46,17,124,124,0,0,4.996696,30.879064,3.77166,7.999587,30.497396,11.441697,124,1,0.145754,21,1,POINT (233366 858063)
245,245,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,ADIKRO,Un village,EPP ADIKRO,295034,858179,ecole,Public,-1,2,-1,-1,1,1,1,2,2,33,17,50,29,51,31,56,31,41,23,27,10,258,238,20,0,47.113091,48.325363,39.941337,41.777143,45.127986,40.02112,258,3,0.509823,21,1,POINT (295034 858179)
246,246,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,AFFOUEKRO,Un village,EPP AFFOUEKRO,288138,858194,ecole,Public,-1,2,-1,-1,1,2,1,2,1,19,6,26,11,19,9,31,15,16,6,10,5,121,121,0,0,19.066771,28.409174,15.964346,18.120761,28.097352,18.774954,121,1,0.239171,18,1,POINT (288138 858194)
247,247,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,BOUKEBO,Un village,EPP BOUKEBO A,244255,858198,ecole,Public,-1,2,-1,-1,1,2,2,2,2,57,27,35,14,42,21,40,18,29,17,39,24,242,242,0,0,36.14617,32.931864,25.399447,30.124686,28.843142,26.759621,242,2,0.340887,21,1,POINT (244255 858198)
248,248,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,BOUKEBO,Un village,EPP BOUKEBO B,244265,858247,ecole,Public,-1,2,-1,-1,1,2,2,2,2,70,31,33,17,38,19,35,12,26,14,30,11,232,232,0,0,32.240004,28.815381,22.771918,26.543085,25.237749,23.247575,232,2,0.296148,21,1,POINT (244265 858247)
249,249,Point,PRIMAIRE,BOUAKE-KOKO,GBÊKÊ,BOUAKE,BOUAKE,0,OKO,Un village,EPP OKO,283602,858335,ecole,Public,-1,2,-1,-1,1,1,1,2,2,57,27,42,15,56,31,60,28,56,30,32,16,303,303,0,0,56.864374,53.617228,55.289955,53.958198,52.100757,55.25415,303,3,0.703874,21,1,POINT (283602 858335)
250,250,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,ASSENGOU-PRI,Un village,EPP ASSENGOU-PRI,291939,858341,ecole,Public,-1,2,-1,-1,1,1,1,2,1,27,13,28,15,43,19,20,9,18,9,13,5,149,149,0,0,43.400611,22.017816,21.097521,41.284559,25.673146,42.686341,149,3,0.543775,18,1,POINT (291939 858341)
251,251,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,KLEMEKLO,Un village,EPP KLEMEKLO,247152,858522,ecole,Public,-1,2,-1,-1,1,2,1,2,2,70,31,60,36,59,33,44,23,59,30,50,17,342,342,0,0,54.541062,44.885989,55.446396,49.064754,48.688569,48.461289,342,3,0.617341,21,1,POINT (247152 858522)
252,252,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,DIABO,0,TELEBOPLI,Un village,EPP TELEBOPLI,262542,858859,ecole,Public,-1,2,-1,-1,1,2,1,2,2,76,35,64,32,50,22,39,17,24,4,15,5,268,238,30,0,42.421057,32.108567,21.020232,34.925112,28.122064,30.588915,268,2,0.389668,21,1,POINT (262542 858859)
253,253,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,KONGOBO,Un village,EPP KONGOBO,226424,858938,ecole,Public,-1,2,-1,-1,1,1,1,2,2,30,16,20,15,26,10,19,8,10,3,27,11,132,126,6,0,25.39008,17.974427,10.969403,23.539324,18.422433,23.669193,132,2,0.301518,21,1,POINT (226424 858938)
254,254,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,GOLIKRO,Un village,EPP GOLIKRO 2,278278,858955,ecole,Public,-1,2,-1,-1,1,1,2,2,2,72,30,48,18,58,32,38,20,25,13,11,6,252,252,0,0,49.208427,31.285271,21.896075,40.51313,27.400985,35.483141,252,2,0.452014,21,1,POINT (278278 858955)
255,255,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,DIABO,0,TELEBOKAN,Un village,EPP TELEBOKAN,263510,859520,ecole,Public,-1,2,-1,-1,1,2,2,2,2,69,35,35,17,52,31,39,15,26,15,29,14,250,250,0,0,51.933244,39.214979,30.835467,49.121976,42.68511,50.637839,250,3,0.645068,21,1,POINT (263510 859520)
256,256,Point,PRIMAIRE,BODOKRO,GBÊKÊ,BEOUMI,BODOKRO,0,LOLOBO,Un village,EPP LOLOBO,235844,859581,ecole,Public,-1,2,-1,-1,1,1,2,2,2,49,23,40,22,58,32,43,13,39,14,46,19,275,275,0,0,52.667678,39.288072,40.530681,46.260905,39.225853,44.118392,275,3,0.562018,21,1,POINT (235844 859581)
257,257,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,ANOUANZE,Un village,EPP ANOUANZE,215460,859636,ecole,Public,-1,2,-1,-1,1,1,1,2,2,41,19,33,17,37,22,24,8,22,10,32,13,189,189,0,0,38.438205,23.645437,24.340778,37.105503,25.356211,38.70358,189,2,0.493039,21,1,POINT (215460 859636)
258,258,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,KIERAKRO,Un village,EPP KIERAKRO,326972,859656,ecole,Public,-1,2,-1,-1,1,1,1,2,2,43,17,11,5,10,4,5,2,0,0,0,0,69,66,3,0,15.402713,11.333932,4.291889,18.418925,17.889068,23.053982,69,2,0.293681,21,1,POINT (326972 859656)
259,259,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,ALLOMABO,Un village,EPP ALLOMABO,292183,859906,ecole,Public,-1,2,-1,-1,1,1,1,2,1,17,14,15,11,13,5,13,5,17,5,15,6,90,90,0,0,14.873087,15.366438,19.18122,15.505304,18.800987,17.619701,90,1,0.224455,18,1,POINT (292183 859906)
260,260,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,DJONGONOU,Un village,EPP DJONGONOU,289510,859936,ecole,Public,-1,2,-1,-1,1,1,1,2,1,21,8,16,9,28,11,14,3,18,9,31,10,128,128,0,0,31.314896,16.966999,21.747807,31.779186,21.220088,34.81357,128,2,0.443485,18,1,POINT (289510 859936)
261,261,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,DIABO,0,SINZEKRO,Un village,EPP KONAN N'ZUE MICHEL,256462,859997,ecole,Public,-1,2,-1,-1,2,2,1,2,2,44,20,39,25,52,30,49,24,33,16,28,14,245,235,10,0,47.32091,43.228513,34.49528,41.565131,41.550383,39.557701,245,2,0.50392,21,1,POINT (256462 859997)
262,262,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,SAOUNDI,Un village,EPP SAOUNDI A,249884,860035,ecole,Public,-1,2,-1,-1,2,2,2,2,2,45,21,57,31,70,34,80,45,77,27,74,31,403,350,53,0,66.051741,70.194197,75.503459,59.6147,66.970298,58.297208,403,3,0.74264,21,1,POINT (249884 860035)
263,263,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,SAOUNDI,Un village,EPP SAOUNDI B,249947,860051,ecole,Public,-1,2,-1,-1,2,2,1,2,2,40,16,52,28,0,0,0,0,0,0,0,0,92,80,12,0,7.302863,4.552545,3.77166,11.728692,9.148145,16.80782,92,1,0.214112,21,1,POINT (249947 860051)
264,264,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,ALLOUKRO,Un village,EPP ALLOUKRO,301553,860125,ecole,Public,-1,2,-1,-1,1,1,1,2,2,30,12,31,19,26,19,28,13,22,12,51,18,188,167,21,0,30.643017,29.381452,23.820549,32.056001,32.818414,36.001774,188,2,0.458621,21,1,POINT (301553 860125)
265,265,Point,PRIMAIRE,BOUAKE-GONFREVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,KPANGBAMBO,Un village,EPP PANGBAMBO,270768,860578,ecole,Public,-1,2,-1,-1,1,1,2,2,2,29,16,31,15,35,18,66,29,50,23,58,24,269,269,0,0,31.616546,55.447952,45.092722,27.524343,49.871946,25.810355,269,2,0.328794,21,1,POINT (270768 860578)
266,266,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,DIABO,0,N'GATTAKRO,Un village,EPP N'GATTAKRO,258006,860635,ecole,Public,-1,2,-1,-1,1,2,1,2,1,17,10,27,16,0,0,0,0,0,0,0,0,44,44,0,0,1.281204,1.887641,2.731202,2.17858,3.944955,3.358978,44,1,0.04279,18,1,POINT (258006 860635)
267,267,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,OUAOUASSI M'BABO,Un village,EPP OUAOUASSI M'BABO,221704,860670,ecole,Public,-1,2,-1,-1,1,1,1,2,2,45,27,54,23,54,22,42,20,40,20,52,17,287,287,0,0,51.195799,39.797228,39.455666,46.568319,40.784986,46.090918,287,3,0.587145,21,1,POINT (221704 860670)
268,268,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,DIABO,0,GROH,Un village,EPP GROH,254569,860902,ecole,Public,-1,2,-1,-1,2,2,1,2,2,64,28,56,30,21,11,31,19,37,21,34,12,243,201,42,0,24.863466,31.629267,37.478423,26.176054,34.626987,29.68036,243,2,0.378094,21,1,POINT (254569 860902)
269,269,Point,PRIMAIRE,BOUAKE-KOKO,GBÊKÊ,BOUAKE,BOUAKE,0,KOUAKRO,Un village,EPP KOUAKRO 1,281301,861039,ecole,Public,-1,2,-1,-1,1,1,1,2,2,24,11,23,11,25,11,20,5,17,11,18,3,127,127,0,0,21.210529,16.465932,14.889331,17.462556,14.421571,15.294457,127,1,0.194834,21,1,POINT (281301 861039)
270,270,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,LANGBASSOU,Un village,EPP LANGBASOU,294010,861864,ecole,Public,-1,2,-1,-1,1,1,1,2,1,16,6,31,10,25,11,25,11,19,9,21,13,137,137,0,0,29.794596,27.133638,21.062963,31.382157,31.060586,35.464319,137,2,0.451775,18,1,POINT (294010 861864)
